,stadium,city,state,team,conference,capacity,built,expanded,div,latitude,longitude
176,Shotwell Stadium,Abilene,Texas,Abilene Christian Wildcats,Southland,15075,1959,2002,fcs,32.43380201,-99.69736576
66,Falcon Stadium,Colorado Springs,CO,Air Force,Mountain West,46692,1962,,fbs,38.99690743,-104.843688
105,Summa Field at InfoCision Stadium,Akron,OH,Akron,MAC,30000,2009,,fbs,41.07256952,-81.50838375
6,Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,101821,1929,2010,fbs,33.20748994,-87.55039215
150,Louis Crews Stadium,Huntsville,Alabama,Alabama A&M Bulldogs,SWAC,21000,1996,,fcs,34.78321453,-86.57930374
136,Hornet Stadium,Montgomery,Alabama,Alabama State Hornets,SWAC,26500,2012,,fcs,32.38068597,-86.31141569
219,Bob Ford Field,Albany,New York,Albany Great Danes,CAA,8500,2013,,fcs,42.68154416,-73.8277173
143,Jack Spinks Stadium,Lorman,Mississippi,Alcorn State Braves,SWAC,22500,1992,,fcs,31.8731844,-91.13631248
118,Kidd Brewer Stadium,Boone,NC,Appalachian State,Sun Belt,24050,1962,2009,fbs,36.2115153,-81.68550611
54,Arizona Stadium,Tucson,AZ,Arizona,Pac-12,51811,1928,1988,fbs,32.22834023,-110.9490395
22,Sun Devil Stadium Frank Kush Field,Tempe,AZ,Arizona State,Pac-12,71706,1958,1998,fbs,33.426364,-111.932616
21,Donald W. Reynolds Razorback Stadium,Fayetteville,AR,Arkansas,SEC,72000,1938,2006,fbs,36.06785079,-94.17879581
95,Centennial Bank Stadium,Jonesboro,AR,Arkansas State,Sun Belt,30964,1974,2002,fbs,35.8489901,-90.66769494
172,Golden Lion Stadium,Pine Bluff,Arkansas,Arkansas–Pine Bluff Golden Lions,SWAC,16000,2000,,fcs,34.25284339,-92.02177807
80,Michie Stadium,West Point,NY,Army,Independent,38000,1924,2001,fbs,41.38708043,-73.96408081
12,Jordan–Hare Stadium,Auburn,AL,Auburn,SEC,87451,1939,2004,fbs,32.60236167,-85.48891068
205,Governors Stadium,Clarksville,Tennessee,Austin Peay Governors,Ohio Valley,10000,1946,2014,fcs,36.5358123,-87.35285282
122,Scheumann Stadium,Muncie,IN,Ball State,MAC,22500,1967,2007,fbs,40.21602764,-85.41769962
69,McLane Stadium,Waco,TX,Baylor,Big 12,45140,2014,,fbs,31.55866264,-97.11560011
210,Municipal Stadium,Daytona Beach,Florida,Bethune–Cookman Wildcats,MEAC,10000,1979,,fcs,29.17307511,-81.1177679
81,Albertsons Stadium,Boise,ID,Boise State,Mountain West,37000,1970,2012,fbs,43.60270805,-116.1959124
72,Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,44500,1957,1995,fbs,42.33510835,-71.16647243
120,Doyt Perry Stadium,Bowling Green,OH,Bowling Green,MAC,23724,1966,,fbs,41.3780544,-83.62248212
154,Brown Stadium,Providence,Rhode Island,Brown Bears,Ivy,20000,1925,,fcs,41.84214547,-71.39464611
243,Bulldog Stadium,Smithfield,Rhode Island,Bryant Bulldogs,Northeast,4400,1999,,fcs,41.92404512,-71.53801189
185,Christy Mathewson–Memorial Stadium,Lewisburg,Pennsylvania,Bucknell Bison,Patriot,13100,1924,1989,fcs,40.95207736,-76.88574565
110,UB Stadium,Amherst,NY,Buffalo,MAC,29013,1993,,fbs,42.99906838,-78.77751946
236,Butler Bowl,Indianapolis,Indiana,Butler Bulldogs,Pioneer,5500,1928,2010,fcs,39.84429757,-86.16624191
33,LaVell Edwards Stadium,Provo,UT,BYU,Independent,63725,1964,1982,fbs,40.257488,-111.654439
193,Alex G. Spanos Stadium,San Luis Obispo,California,Cal Poly Mustangs,Big Sky,11075,2006,,fcs,35.29851683,-120.6651142
35,California Memorial Stadium,Berkeley,CA,California,Pac-12,62717,1923,2012,fbs,37.8706866,-122.2507095
241,Barker–Lane Stadium,Buies Creek,North Carolina,Campbell Fighting Camels,Pioneer,5000,2008,,fcs,35.40471835,-78.74297959
215,Estes Stadium,Conway,Arkansas,Central Arkansas Bears,Southland,9000,1939,2012,fcs,35.08030322,-92.46012211
247,Arute Field,New Britain,Connecticut,Central Connecticut State Blue Devils,Northeast,3500,1969,,fcs,41.69513675,-72.76143216
90,Kelly/Shorts Stadium,Mount Pleasant,MI,Central Michigan,MAC,32885,1972,1997,fbs,43.57761228,-84.77082968
245,Buccaneer Field,North Charleston,South Carolina,Charleston Southern Buccaneers,Big South,4000,1970,,fcs,32.97835006,-80.06846858
127,Jerry Richardson Stadium,Charlotte,NC,Charlotte,C-USA,15314,2013,,fbs,35.31028068,-80.74049377
151,Finley Stadium,Chattanooga,Tennessee,Chattanooga Mocs,Southern,20668,1997,,fcs,35.03604045,-85.31576872
76,Nippert Stadium,Cincinnati,OH,Cincinnati,American,40000,1924,2015,fbs,39.13128425,-84.51626144
16,Memorial Stadium,Clemson,SC,Clemson,ACC,81500,1942,2006,fbs,34.67874666,-82.8431797
213,Brooks Stadium,Conway,South Carolina,Coastal Carolina,Big South,9214,2003,20062010,fcs,33.79283818,-79.01702283
199,Andy Kerr Stadium,Hamilton,New York,Colgate Raiders,Patriot,10221,1966,1991,fcs,42.81652725,-75.54581165
57,Folsom Field,Boulder,CO,Colorado,Pac-12,50183,1924,2003,fbs,40.00939837,-105.2668869
86,Sonny Lubick Field at Hughes Stadium,Fort Collins,CO,Colorado State,Mountain West,34400,1968,2006,fbs,40.56174245,-105.1398437
164,Lawrence A. Wien Stadium,Manhattan,New York,Columbia Lions,Ivy,17000,1984,,fcs,40.87231892,-73.91571406
75,Rentschler Field,East Hartford,CT,Connecticut,American,40000,2003,,fbs,41.75988428,-72.61894226
137,Schoellkopf Field,Ithaca,New York,Cornell Big Red,Ivy,25597,1915,2006,fcs,42.44401296,-76.47868395
177,Memorial Field,Hanover,New Hampshire,Dartmouth Big Green,Ivy,15000,1923,,fcs,43.70127219,-72.28477632
231,Richardson Stadium,Davidson,North Carolina,Davidson Wildcats,Pioneer,6000,1923,1998,fcs,35.49958483,-80.84345239
196,Welcome Stadium,Dayton,Ohio,Dayton Flyers,Pioneer,11000,1949,1974,fcs,39.736938,-84.19878666
146,Delaware Stadium,Newark,Delaware,Delaware Fightin' Blue Hens,CAA,22000,1952,,fcs,39.66170402,-75.74883012
227,Alumni Stadium,Dover,Delaware,Delaware State Hornets,MEAC,7000,1980,,fcs,39.18882601,-75.54349422
181,Drake Stadium,Des Moines,Iowa,Drake Bulldogs,Pioneer,14557,1925,2005,fcs,41.60500605,-93.65502208
88,Wallace Wade Stadium,Durham,NC,Duke,ACC,33941,1929,2014,fbs,35.99531665,-78.9417243
252,Arthur J. Rooney Athletic Field,Pittsburgh,Pennsylvania,Duquesne Dukes,Northeast,2200,1993,2011,fcs,40.43562178,-79.99015091
60,Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,American,50000,1963,2010,fbs,35.5964258,-77.36522913
208,Kermit Tipton Stadium,Johnson City,Tennessee,East Tennessee State Buccaneers,Southern,6600,2010,,fcs,36.32708674,-82.37694179
202,O'Brien Stadium,Charleston,Illinois,Eastern Illinois Panthers,Ohio Valley,10000,1970,1999,fcs,39.48059302,-88.18116188
153,Roy Kidd Stadium,Richmond,Kentucky,Eastern Kentucky Colonels,Ohio Valley,20000,1969,,fcs,37.73447587,-84.2980957
102,Rynearson Stadium,Ypsilanti,MI,Eastern Michigan,MAC,30200,1969,1992,fbs,42.25576071,-83.64775658
216,Roos Field,Cheney,Washington,Eastern Washington Eagles,Big Sky,8600,1967,,fcs,47.49270377,-117.588129
192,Rhodes Stadium,Elon,North Carolina,Elon Phoenix,CAA,11250,2001,,fcs,36.10987437,-79.50768113
121,FIU Stadium,Miami,FL,Florida International,C-USA,23500,1995,2012,fbs,25.75249279,-80.37786484
11,Ben Hill Griffin Stadium,Gainesville,FL,Florida,SEC,88548,1930,2003,fbs,29.64986868,-82.34866619
138,Bragg Memorial Stadium,Tallahassee,Florida,Florida A&M Rattlers,MEAC,25500,1957,,fcs,30.42613695,-84.29142797
106,FAU Stadium,Boca Raton,FL,Florida Atlantic,C-USA,30000,2011,,fbs,26.37545356,-80.10168314
14,Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,Florida State,ACC,82300,1950,2003,fbs,30.43754758,-84.30453398
228,Coffey Field,The Bronx,New York,Fordham Rams,Patriot,7000,1930,,fcs,40.86118054,-73.88327122
73,Bulldog Stadium,Fresno,CA,Fresno State,Mountain West,41031,1980,1992,fbs,36.8143197,-119.7581016
170,Paladin Stadium,Greenville,South Carolina,Furman Paladins,Southern,16000,1981,1985,fcs,34.91983652,-82.43776898
220,Ernest W. Spangler Stadium,Boiling Springs,North Carolina,Gardner–Webb Runnin' Bulldogs,Big South,8500,1969,,fcs,35.24566866,-81.6737428
251,Cooper Field,Georgetown,Washington D.C.,Georgetown Hoyas,Patriot,2500,2005,,fcs,38.90803281,-77.07540035
