,zipcode,train,train_pred,test_pred
0,72130,168486.0,171122.8721962446,173795.55071619587
1,72131,219803.0,218749.34136735043,222930.82098623234
2,72134,169863.0,173471.91223456548,181401.07284200902
3,72138,212089.0,209873.26141868485,218889.27863504988
4,72139,186539.0,187680.20228363236,193287.06478690723
5,72140,214014.0,212463.69146282,217190.80041996183
6,72141,207336.0,207839.864624118,212818.20963324961
7,72142,238761.0,239877.9483562524,246453.59856315883
8,72143,102634.0,104598.01612873154,107701.16235096539
9,72145,48717.0,49808.03619881156,50743.11951389923
10,72146,222047.0,220124.85841573053,227609.74867628294
11,72147,156734.0,158528.93236304104,161713.75814804083
12,72148,129025.0,129488.44972206435,131690.6030355249
13,72149,127257.0,125019.10713143174,127015.4713508289
14,72150,132911.0,133077.78430506864,135567.52385859878
15,72151,86493.0,86752.66201739985,89962.97154485481
16,72152,248756.0,250469.47265281816,257189.7802636344
17,72153,146512.0,148076.2527347308,153512.14800117695
18,72154,229531.0,232326.8560874038,241208.7437762642
19,72157,243206.0,245451.8777368495,252997.95253310687
20,72158,287500.0,289779.15574335406,296613.82995849964
21,72159,263411.0,267221.67460799165,273988.46252149146
22,72161,279886.0,283072.72339160816,291055.5210609089
23,72162,249530.0,248877.7876980791,254147.5688790964
24,72163,251769.0,253047.63448358004,259415.0312030255
25,72168,203441.0,203122.25561481886,209030.73841476807
26,72172,221190.0,220172.10162780993,225439.33989127085
27,72173,189768.0,190249.7372086484,195943.64134093237
28,72174,177142.0,179279.03952028003,185753.52612653226
29,72177,220096.0,223024.53721731433,231329.48392921872
30,72178,330618.0,329925.0316117093,330119.4798771202
31,72180,205278.0,206330.7945107271,213344.2377933807
32,72181,283103.0,287858.7667843258,295362.7939751438
33,72182,188781.0,189313.84667692365,195221.7391138547
34,72184,185350.0,184925.82723297479,189928.38214236844
35,72186,338903.0,340319.1639585159,347068.9113277853
36,72188,266389.0,267204.12384121754,274304.1508948882
37,72189,361219.0,363982.8700778418,370467.361312237
38,72192,228183.0,230627.46576875795,239494.05506145893
39,72194,243179.0,246748.40138009138,254386.58623668485
40,72195,194480.0,193955.00071542698,197766.66334169958
41,72197,179871.0,179471.8628618914,185859.8551879588
42,72198,295488.0,296996.2278560224,307731.5658025439
43,72199,323521.0,326086.0884926548,333247.5284527467
44,72200,390087.0,392834.22788829665,401133.05249505327
45,72201,124498.0,127411.73782474746,133240.40354513735
46,72203,233380.0,234706.79107649424,240390.7553659189
47,72205,203124.0,204982.82361586532,213019.23295199324
48,72208,266822.0,270791.40531855344,280587.3190322394
49,72210,202081.0,204388.40881523534,210800.49652095445
50,72211,366823.0,369555.4929464722,375698.1781309108
51,72212,183127.0,185013.2525856715,191509.23505074924
52,72216,166757.0,168425.10157291032,174893.24292221316
53,72217,528635.0,533235.8692889997,543565.2875653704
54,72220,273179.0,277013.2647699125,284772.5325308956
55,72224,165663.0,167434.315024733,174003.3602233506
56,72225,157665.0,162313.49005190894,172666.4120197114
57,72227,341162.0,347036.9904424205,354587.0854625421
58,72229,322315.0,327667.334094249,337421.38107665733
59,72230,351549.0,355872.16722610214,367850.1015756833
60,72231,144082.0,146100.70159474693,153660.32807062328
61,72232,301503.0,305144.2304926121,314491.77354787197
62,72233,207309.0,210553.90576243712,218435.73690544628
63,72234,166389.0,169646.66010591565,179598.03554835301
64,72235,206275.0,210952.46142084413,218917.96873467905
65,72236,201133.0,204127.3201685955,211894.19009741492
66,72237,146756.0,149719.49119478112,158406.03156498424
67,72238,282653.0,286155.64669191017,294536.7024783568
68,72239,526206.0,534769.8390259008,545551.4557398909
69,72242,256162.0,260352.17649448663,268861.96624532354
70,72243,222308.0,225261.75987912522,234642.62627422274
71,72244,345974.0,349252.1712010601,354923.16185812134
72,72245,323087.0,326014.6350903823,334130.28083745355
73,72246,242976.0,244539.87595319664,252049.96147582037
74,72247,212150.0,215248.60640561552,224523.57852961516
75,72248,267793.0,270555.2413220421,278862.981334684
76,72249,256039.0,259095.87603898958,267411.9776774001
77,72250,244776.0,248204.90138816292,257804.38779460988
78,72251,396327.0,399907.4843016215,408467.98098298744
79,72252,308466.0,312585.8624444633,320531.6907767714
80,72253,269485.0,273241.6797732094,281650.67703463964
81,72256,340810.0,344162.29472157353,351867.59344879433
82,72257,301989.0,305343.2262442232,312312.38593315444
83,72259,270903.0,273260.4609300284,281092.23552102246
84,72260,474945.0,478313.81277675176,485599.6211832299
85,72261,279202.0,282127.87644036126,290092.21121413104
86,72262,198517.0,203273.13941678364,213682.04450644032
87,72289,180374.0,182988.74549125246,188462.22462996375
88,72291,403681.0,404826.7041574403,409165.7204436005
89,72292,261236.0,263322.99125334,267137.0768218407
90,72293,155368.0,157308.79010805584,162235.68849484823
91,72295,188376.0,189586.50499005202,194530.30501786232
92,72296,193597.0,195277.43705527694,200485.62300097125
93,72297,193099.0,195221.63344012332,200791.0531000323
94,72302,256111.0,258005.76238175732,264503.0372470641
95,72303,116861.0,119846.5453169443,129912.47048987084
96,72307,211733.0,214307.39366545022,220236.798270241
97,72308,191634.0,193566.50160729635,199757.44549297562
98,72309,425624.0,429610.9038432973,437051.1352844372
99,72311,319773.0,321976.035190391,325392.0233205118
100,72312,182198.0,184114.94101945547,189234.74994634284
101,72314,330937.0,332929.81742614636,336424.910231262
102,72315,318635.0,321275.6024768079,325901.69693697523
103,72317,200493.0,201599.89898559338,206659.40066213228
104,72318,375176.0,374318.4728281209,378861.9723390889
105,72319,343377.0,344829.6041493884,351917.8093809148
106,72320,437257.0,439788.2306115727,445701.6070672683
107,72321,315410.0,317696.3450279215,323210.1828780767
108,72322,301629.0,304017.90076642623,310986.645097076
109,72324,261360.0,263859.08515699144,268786.7978629685
110,72327,227167.0,230737.4901719139,236665.9529824598
111,72329,193332.0,196573.11784767907,203020.7287556422
112,72331,179976.0,183148.35869202652,189993.50212489502
113,72332,760766.0,764800.3197883194,771433.4879921189
114,72335,237328.0,240758.51315008375,246106.2766087165
115,72336,247745.0,251160.20677750357,256636.57035506488
116,72337,271687.0,273208.26783579873,279079.2844580304
117,72341,141012.0,140911.38752038043,145183.36474248738
118,72343,521519.0,527701.6687274391,548349.395481514
119,72345,318911.0,322531.78903089755,329503.20746792253
120,72347,283486.0,284541.48527180054,293252.4375354898
121,72348,328895.0,332738.46677939367,343446.7395083491
122,72350,362504.0,366183.2652485985,378488.7511235158
123,72351,339430.0,344679.2558128159,359338.23120768723
124,72352,339083.0,342502.643021594,352421.6124251802
125,72353,355495.0,358246.54614392837,367478.46281506
126,72354,355418.0,360734.0493057708,370879.1883199426
127,72356,354625.0,358836.17162142263,367248.5820482437
128,72357,546107.0,548551.3318074119,546444.7377339691
129,72358,293077.0,294714.6109993258,305267.99300161074
130,72359,365511.0,367643.3746293377,372148.9790964215
131,72361,282275.0,287094.6152099165,299714.45323498966
132,72362,307981.0,311367.5725924428,320521.3667476902
133,72363,321802.0,325400.37507292134,333629.8790215219
134,72364,342225.0,344388.4594234218,350187.3597766126
135,72365,411387.0,414829.26585144707,420171.0677347482
136,72366,426518.0,431002.76695075503,437499.37835743505
137,72367,436909.0,440975.7661180103,446306.3727189479
138,72368,263423.0,267367.17342042114,279213.8129776161
139,72369,466110.0,468914.2472328929,485410.2070871123
140,72370,272317.0,274574.25689632125,282856.56752519996
141,72371,256478.0,259245.02258087593,269562.62413644243
142,72372,187771.0,188890.65985809042,196418.54964927625
143,72373,218219.0,221651.53881860306,229385.27679549236
144,72374,1030647.0,1035435.7674447831,1100455.205851966
145,72375,632146.0,632998.5881901686,653504.0913734131
146,72377,692603.0,697134.0609728062,717132.7550865083
147,72379,624148.0,629741.7336568175,656677.4459920237
148,72380,462033.0,468152.44445874955,488304.1980982716
149,72383,578090.0,582716.8037083164,609383.1165835166
150,72384,657692.0,663755.1000934378,690366.0053543972
151,72386,244580.0,247754.3309254473,259886.1743676066
152,72387,289814.0,294000.8162174583,306517.0510687841
153,72388,267955.0,271654.74555289536,283406.0410589437
154,72389,316208.0,321001.84451950924,329443.27744337503
155,72391,590433.0,595926.8214751004,605252.6029581007
156,72392,290450.0,293602.8096635951,300617.87548675016
157,72393,249077.0,253040.71797358518,260919.52824286924
158,72394,365131.0,369195.97398319823,375916.21239631955
159,72395,294415.0,298131.575677614,305389.81525676366
160,72396,479623.0,481481.3872027892,483687.827256119
161,72397,251859.0,255202.537741871,265885.6399770546
162,72398,216195.0,218377.07985914015,228413.51100853315
163,72399,664291.0,664597.13919612,687717.4231019545
164,72400,418169.0,421211.6522833241,426420.1744642076
165,72402,374390.0,378310.11697987025,384177.9498795476
166,72405,544929.0,550066.6935430221,554691.7807950528
167,72418,2487248.0,2522953.490299348,2526277.042610143
168,72426,1201390.0,1182028.2017015393,1158662.5995071142
169,72428,338567.0,340234.69244278135,355058.6142757687
170,72429,344219.0,346793.7303719779,358229.71775473043
171,72430,278166.0,282946.0091475535,300763.13162691664
172,72431,363297.0,373305.26691144204,384227.77814611595
173,72432,684983.0,694097.9352529112,700807.7678157277
174,72433,368554.0,378127.3083380028,381335.5738132842
175,72434,429924.0,427955.630748829,420927.64841191814
176,72435,426033.0,427222.0254129338,431086.97938162123
177,72436,757697.0,760621.893316415,765720.4185654109
178,72437,596622.0,598630.1831095793,604803.2340645014
179,72438,386746.0,390515.3365361669,401640.37314658414
180,72439,357628.0,359787.60210585565,366323.4863025982
181,72440,712594.0,715143.3963463084,714530.0712490226
182,72441,599781.0,604055.9770420986,613872.3573890061
183,72442,1888599.0,1911122.2261541483,1911454.8100174342
184,72443,1640444.0,1658405.254355704,1654685.3599928622
185,72444,852429.0,853936.2032847239,853036.1165661428
186,72445,237002.0,241128.91023849207,257634.8133452686
187,72446,833753.0,839234.5767584823,850286.9952213491
188,72447,376148.0,377715.5846382466,386021.58422827127
189,72448,471158.0,472787.2118310082,482146.6118144249
190,72449,1036484.0,1038029.0647021511,1045212.8196162512
191,72450,242647.0,247300.80460334444,263048.5422828623
192,72452,2491451.0,2506439.924927506,2465579.4441267606
193,72453,250851.0,254468.43403119105,266285.64965676784
194,72457,880332.0,882216.0551995329,875361.232354493
195,72458,416046.0,418466.00245376845,428210.2736934371
196,72459,1047233.0,1049170.3874012737,1052667.7153681777
197,72460,356593.0,359906.24768382177,369974.78750049655
198,72461,662117.0,668252.509106775,672471.3071065042
199,72463,873762.0,871256.6577113419,859997.3946685195
200,72464,325049.0,326042.1929529424,336622.53245177824
201,72465,299398.0,304739.9953010699,316867.39601448097
202,72468,392060.0,396988.9464840159,407078.37820641
203,72469,420757.0,422699.2322180667,432593.70936246135
204,72470,250675.0,255140.99164091947,268182.71078845183
205,72471,262260.0,268382.13041224366,282388.2963983557
206,72472,277382.0,281839.4177367508,292476.02955449576
207,72473,306097.0,310147.77641209384,320780.81964120356
208,72474,368815.0,367667.30009706016,369528.7491622747
209,72475,394025.0,397593.02534772764,407495.73446057196
210,72476,379466.0,383710.5827344168,394339.23986669193
211,72477,388228.0,393895.29272646474,404955.3570467503
212,72478,502132.0,507699.08544538997,519583.4770432425
213,72479,318005.0,321250.9785082594,332745.72144942265
214,72480,397797.0,398003.2378818086,397156.54529598437
215,72481,324791.0,327376.37536913785,332703.35932942753
216,72482,617077.0,620847.9818387937,620885.4671975715
217,72483,615059.0,620631.7443561989,628486.8811796457
218,72484,386346.0,387668.1793305435,393116.7273398367
219,72485,370932.0,375789.19795845915,387432.1402680433
220,72486,380437.0,382767.1288153823,389711.36032230896
221,72487,399269.0,401825.0892306898,410092.91251002054
222,72488,347361.0,349767.8259393736,358365.6379379083
223,72489,399571.0,403111.05141081,412472.19081516814
224,72491,314960.0,319836.1391146338,330789.13102310646
225,72492,284586.0,286863.55057482136,294951.0687327598
226,72494,362642.0,366037.90375324036,375976.51671017415
227,72497,372039.0,374017.84903816826,382173.67373938457
228,72520,1148043.0,1158526.7374902372,1171407.2715945416
229,72523,499457.0,503657.0015308362,510049.67599243467
230,72524,557255.0,563200.4396879178,571768.4192995811
231,72525,693116.0,704338.7792050168,716402.6767008546
232,72527,637511.0,644346.6704002147,650266.048984636
233,72528,269153.0,273243.7136916164,283650.2036599255
234,72530,229069.0,233129.89967165265,243877.95590218727
235,72531,300374.0,304044.49518770206,313522.7586390246
236,72532,258108.0,260491.8147802545,270354.19638888276
237,72533,290491.0,293275.4729311239,301589.629317524
