,zipcode,train,train_pred,test_pred
0,95906,179867.0,178102.98025151162,184753.24545933143
1,95907,236235.0,240972.19153306397,255129.03603002275
2,95908,410456.0,414974.9489538267,437576.7183185263
3,95909,279373.0,287546.79271014064,301025.0509306899
4,95911,295525.0,304014.2003825708,316750.09928425413
5,95912,335842.0,346695.4821233291,362538.0093602754
6,95914,396800.0,408707.6326291189,424607.0944840284
7,95916,542810.0,550400.5156163945,568581.4992177702
8,95917,277783.0,282975.34687828517,293585.8355939106
9,95918,251223.0,251270.4811922428,241515.42105364503
10,95919,357157.0,363755.45904103434,385558.5245416133
11,95920,248153.0,254059.39717036637,262671.77858566085
12,95922,201004.0,202211.8675653717,211692.8564365321
13,95923,838031.0,856145.8445060628,891538.3215791342
14,95924,541203.0,553118.3759854559,578078.816338363
15,95926,1010933.0,1030104.7965607939,1068172.2294844321
16,95928,393388.0,403046.54575845884,424172.8290715463
17,95930,352896.0,358205.32847999316,369853.5852517698
18,95931,311561.0,319794.243938036,333631.3043977993
19,95932,328964.0,339803.19800689147,351830.72100976994
20,95935,306092.0,315088.5070179237,328539.54970241577
21,95937,482504.0,492550.4468469723,510066.9552552904
22,95938,471179.0,478871.85984024545,502068.6934289618
23,95939,717907.0,732776.9255307763,758288.6250350418
24,95940,256002.0,265304.7427328721,278187.0493408819
25,95944,463054.0,476178.9049370647,494833.8360612187
26,95945,429075.0,440210.92701071687,455796.82506570715
27,95952,326268.0,330060.18552986725,344282.61037647264
28,95954,456640.0,457340.7134652793,468349.91509976675
29,95955,462111.0,475025.6504870143,490673.49039304914
30,95956,354732.0,362031.05341979687,379012.9243792994
31,95957,304508.0,307217.1105959315,319685.4320622619
32,95963,318548.0,326540.9848562634,337547.64410813234
33,95966,325579.0,332232.9244165328,343609.1462886503
34,95967,202605.0,207801.5860944826,215642.61118695652
35,95968,162219.0,166150.5844815826,172297.74651218014
36,95969,169965.0,173678.11948952384,180957.5974592598
37,95970,281116.0,288672.69254757394,299909.83538110775
38,95972,139086.0,141598.78456469608,144200.94936664778
39,95973,90501.0,95870.90795159584,102265.32249841605
40,95974,396132.0,404056.5863153469,417292.86489640595
41,95976,79607.0,84300.10644666405,85730.85388059793
42,95978,194174.0,201645.8119318014,210203.47860047597
43,95979,82378.0,82378.00000000023,84047.46600794671
44,95980,167213.0,170739.0101975954,175331.75880821093
45,95981,245845.0,247333.6826902162,254247.89777052126
46,95982,408296.0,408179.2817132908,418909.1391671178
47,95983,395938.0,397109.08611136157,409585.630559056
48,95984,420540.0,420534.5783773348,435235.8885038804
49,95985,1491262.0,1515193.0546755842,1612424.2630640434
50,95986,1593231.0,1613088.405763538,1714773.005130195
51,95987,868034.0,888287.7490404738,919584.3462695585
52,95988,739277.0,751565.8171735328,773946.786836896
53,95989,906215.0,899667.9462732675,925007.3977545924
54,95991,1830931.0,1961791.0934735902,2045604.245353385
55,95992,436368.0,442345.3801738591,456346.63132694905
56,95993,739155.0,728907.5225843246,733991.2732875241
57,95994,735984.0,725636.7845994203,740521.1092563729
58,95995,746224.0,740625.112610988,741323.641445347
59,95996,740066.0,740600.8914242286,754873.2356955744
60,95997,820787.0,823370.4803613011,853700.7527922858
61,95998,785558.0,767676.3030197117,777798.2842890312
62,95999,758245.0,758801.4248593828,780236.4141165887
63,96000,1132512.0,1152522.8390510248,1213455.4839944146
64,96001,3723588.0,3810907.5217731204,4075010.5873462753
65,96002,602783.0,609560.6354449621,627197.7581717768
66,96003,470609.0,475120.44240572426,483407.7823826352
67,96004,453748.0,454230.47414785024,462606.2155615805
68,96005,2711843.0,2730088.2101615034,2841198.847766672
69,96006,1680577.0,1668421.6614731378,1718916.0005801262
70,96007,953664.0,968938.8990157549,1016675.1517053006
71,96008,1603120.0,1602798.8792728372,1685567.5946698962
72,96009,1205743.0,1206519.7007099278,1244185.8511862713
73,96010,1018336.0,1029487.7577901405,1065727.0955998306
74,96012,683103.0,685912.7934562915,696291.3058382099
75,96013,628518.0,647100.9217303261,668939.7790437809
76,96014,507471.0,523154.50778213574,541894.7482940435
77,96015,1422120.0,1441350.2028918471,1478072.3942284838
78,96016,1773406.0,1750603.850968565,1800008.750852798
79,96017,1895934.0,1919770.8859362805,2028916.8727012011
80,96018,511789.0,519176.82915550616,539246.1853160785
81,96019,1195181.0,1190083.2595169938,1222064.8830938013
82,96020,1030099.0,1039486.0268369488,1094485.4069288098
83,96021,465071.0,469319.26288199984,476812.6329339888
84,96022,883596.0,885047.5933996809,904951.6101837218
85,96023,803260.0,823283.8757512773,841239.5853732657
86,96024,694976.0,698407.172191998,714201.7186718528
87,96025,461185.0,462007.1764241236,472848.20459461416
88,96026,1254542.0,1289862.5796099522,1316133.825767676
89,96027,1806153.0,1811534.1006267848,1897525.4795776024
90,96028,516543.0,520557.301663025,534412.2482747824
91,96029,2046219.0,2041449.6989138725,2135922.9735520324
92,96030,3192686.0,3207996.8192745,3308076.4662038498
93,96037,1346743.0,1385524.8722249223,1453991.0705576052
94,96038,873145.0,887005.9985488167,900117.3713047127
95,96039,401504.0,408819.13208064093,419314.83967097354
96,96040,404976.0,406674.6207689152,418070.2485694565
97,96042,431925.0,432333.8756222355,442885.7474897617
98,96043,599802.0,622558.7284418659,654932.4677695573
99,96044,506783.0,518688.90960114024,538121.7231853857
100,96045,1740098.0,1759569.2609697767,1843364.5298135707
101,96046,826363.0,842866.6112796307,859952.6090212644
102,96047,1543013.0,1574823.998222281,1611815.6388054348
103,96048,1399993.0,1418072.9758816655,1437640.6381514457
104,96049,1556266.0,1558950.7196836774,1620111.873287121
105,96050,2772205.0,2795531.4465593216,2917508.7624271526
106,96058,2902553.0,2909719.960794888,2998441.3190885237
107,96072,1894230.0,1911634.2616463897,1922360.0913220618
108,96083,462806.0,466760.26631646865,474393.49050151644
109,96086,5470559.0,5475276.709531801,5653617.273132981
110,96087,2300187.0,2340694.62647367,2516958.687134807
111,96088,3025222.0,3055409.929568435,3197643.298123972
112,96090,420083.0,423413.1992694332,431836.42551809695
113,96091,424404.0,426063.7423829683,436019.2031694273
114,96092,403692.0,407236.0980253981,416605.54633057414
115,96095,1236356.0,1232422.7532292397,1259959.9459984226
116,96097,1525381.0,1553850.001793461,1607650.948170783
117,96100,627568.0,628966.5087785914,635162.4811481556
118,96101,623379.0,626571.8724058842,634046.6200654336
119,96102,547665.0,553301.7241127811,561795.3744989011
120,96103,1396626.0,1416772.8868432995,1430919.9434482835
121,96104,556241.0,565555.8158845718,579282.0049590546
122,96105,584379.0,589014.683970288,598725.8591797667
123,96106,587254.0,586931.789938753,595219.3750690107
124,96107,655423.0,661618.0594696463,676342.0424563454
125,96109,1936149.0,1953946.260246414,2046225.2583092873
126,96110,456151.0,457803.37779037416,465530.0004763958
127,96111,644853.0,639818.0022057561,650287.1163262336
128,96113,446530.0,445812.65705979633,452130.98760664085
129,96116,3536155.0,3560671.1741223214,3656771.1870379797
130,96117,2515136.0,2553573.491163031,2703181.3759839064
131,96119,436388.0,436887.741552913,442238.7426981852
132,96120,3385464.0,3317727.397714195,3342735.6710789427
133,96121,1915339.0,1920683.7691121127,1977649.676720751
134,96122,1379463.0,1381027.662161675,1384126.0718776511
135,96123,1418489.0,1425619.4765863128,1433213.2626862458
136,96124,1037308.0,1042486.5766802405,1056816.1227159835
137,96125,459674.0,463377.1438859714,471448.53844006365
138,96126,1261242.0,1277420.629896443,1284049.5555249043
139,96127,2008854.0,2022463.8475620428,2089574.405434985
140,96128,1686275.0,1666962.0267175203,1702233.0861202485
