,zipcode,train,train_pred,test_pred
0,64913,165063.0,163471.13436060122,169204.61219536173
1,64914,153625.0,153020.9685596323,156419.8049688841
2,64916,163637.0,164291.81338865848,167639.0822057729
3,64917,182948.0,183492.79087101578,188075.76487818407
4,64918,172712.0,174675.77055459569,179718.69256471784
5,64920,221795.0,221280.82208052278,226172.27743455683
6,64922,158212.0,156761.0017636607,158379.0326640826
7,64923,162028.0,161417.82941706962,165155.02549947766
8,64924,72614.0,73272.17962100735,76064.41510135726
9,64925,69045.0,66333.39705105551,63198.88626509389
10,64926,85584.0,85865.20848047126,88247.1258528338
11,64927,129497.0,125944.35038764575,126283.34983022265
12,64928,126415.0,125391.85288718804,128291.11823445224
13,64929,51084.0,51595.15063541862,52076.973271892326
14,64930,48030.0,49084.74014935566,50287.816434772765
15,64935,162977.0,163389.80638892233,167187.6515651001
16,64936,155786.0,155971.5031342621,159147.44946719083
17,64937,180598.0,179825.1613131406,182922.95943415858
18,64938,223776.0,223853.5697971266,228715.64390163933
19,64939,109822.0,109538.1094199605,112235.57561431018
20,64953,157382.0,159019.73655590139,162536.01908559105
21,64954,165924.0,166042.7944616943,165921.35982336398
22,64955,186366.0,187912.48237969074,193764.1593061812
23,64956,144696.0,145025.11793493698,147031.56597924928
24,64957,104515.0,103321.86001467708,105073.81576497007
25,64958,191750.0,188754.0063339147,189282.84350182107
26,64959,90440.0,89660.87354780534,89653.38842428688
27,64960,145439.0,145908.28737378583,150181.32274945552
28,64961,160939.0,158135.48828469124,154704.8778249527
29,64962,151091.0,146839.358476046,144233.56966635463
30,64963,150427.0,150922.78245998395,153736.2665198456
31,64964,180264.0,180970.7177028784,184042.16374932497
32,64965,114889.0,113191.47250529409,112589.22655809915
33,64966,153118.0,152201.6584410533,152104.25717397273
34,64967,201088.0,201318.8461112022,204139.78039141378
35,64968,123540.0,124366.77296674247,126118.91086273569
36,64969,121924.0,122192.99028138116,125429.72802401053
37,64970,136104.0,136235.6456256272,134509.73461414335
38,64971,164587.0,164585.96850461207,167291.7357380578
39,64972,134086.0,133833.63591137578,134785.86668584935
40,64973,150897.0,150433.9804047224,146661.4536478655
41,64974,177279.0,179428.62490431886,183405.17764443747
42,64975,149840.0,152407.56782249958,155507.88891118977
43,64976,140274.0,140482.60797876987,142810.7360358103
44,64977,105062.0,104479.3550650993,106775.6541420935
45,64978,189855.0,189937.51390143382,191862.61750142358
46,64979,184964.0,186082.7558991405,188955.4509014628
47,64980,94534.0,94081.20702126989,95519.42154118091
48,64981,174321.0,172477.90636911982,172779.03301209142
49,64982,153652.0,155420.69953551327,158776.17898319263
50,64983,143445.0,143810.18625307383,143473.74337098547
51,64984,67294.0,66058.41168651906,66215.9187290122
52,64985,130290.0,129894.68902069858,128094.55051645801
53,64986,145057.0,145326.4701592402,145889.40377301534
