,zipcode,train,train_pred,test_pred
0,92081,128757.0,127384.59834764163,129446.35254274908
1,92082,217260.0,216905.1361695666,220886.25415365584
2,92083,207690.0,207856.8408135512,212835.35314422208
3,92084,101935.0,100750.64176827726,101378.79642182469
4,92085,136282.0,133252.05382993838,133904.8621546415
5,92086,127043.0,127335.30208307838,130979.0678699241
6,92087,166376.0,166329.76004710846,168573.65933682758
7,92088,127032.0,125268.63660594825,127182.74894862832
8,92089,175250.0,175784.871454726,180974.23981125126
9,92091,50091.0,50788.74774673219,52607.68607267541
10,92092,111447.0,112857.3265254688,115637.22918928655
11,92093,48354.0,48877.877898826664,50233.54591416638
12,92095,76431.0,77334.07385137492,80215.86236781105
13,92096,193743.0,193963.40788990856,196275.10873553497
14,92097,126810.0,127157.8586211658,129275.85159200545
15,92098,117004.0,117847.95592233578,120852.07193270454
16,92101,182176.0,181555.00568487766,184239.19179892604
17,92105,158616.0,159044.98675407728,163119.46738112546
18,92106,206131.0,206998.70195067456,211505.3819568206
19,92107,125706.0,124993.87750118664,128361.62450984145
20,92110,219020.0,220011.44199040494,224437.89520097038
21,92111,303057.0,302814.9957026309,309505.6069541408
22,92112,226271.0,225666.70822446275,232479.256510548
23,92113,110968.0,111296.42305381244,115410.5263381264
24,92114,219930.0,219731.09962251942,224836.9095471682
25,92116,265175.0,264902.7450342599,272501.53684058646
26,92117,165541.0,165013.4864681895,168392.88866340142
27,92118,80714.0,81705.29769550907,83679.67308066876
28,92119,214797.0,215277.34158475624,233537.52085033158
29,92120,218590.0,218257.03291238344,220342.63735778662
30,92125,264098.0,264104.0734716172,268753.7192461304
31,92127,137033.0,135561.20278979052,138474.34958963929
32,92128,190643.0,191065.54117512575,195832.17240026707
33,92129,178237.0,177419.1861926112,180398.13878055278
34,92130,224368.0,223638.05020528182,229594.67330732077
35,92131,213888.0,211191.86321087336,215974.46612173546
36,92132,101160.0,101347.58240134691,104804.01390495764
37,92133,228923.0,229503.26669566668,235466.57390906554
38,92135,125608.0,124847.35348231833,125715.2732871145
39,92136,141403.0,142621.75001386457,147500.19933264956
40,92137,201090.0,199782.82206591812,201818.03652011484
41,92140,162353.0,161691.7045280832,165087.17881717675
42,92143,177421.0,177321.67616738248,182200.41789189784
43,92144,218046.0,219752.84525083157,228300.7780802399
44,92145,212530.0,217608.04164306037,225057.12684726727
45,92147,85377.0,85430.00686203578,88554.24812311842
46,92148,151674.0,151995.33580302726,155574.0723179844
47,92149,105515.0,105666.74083452749,108495.19136066717
48,92150,259629.0,256113.5163495837,260926.12510345958
49,92152,287545.0,287223.87935780734,299196.81699990167
50,92158,108751.0,108681.48674772454,110050.6448523731
51,92160,137345.0,137547.46584775628,141859.83690706827
52,92161,120177.0,119821.69657926135,122024.10794825945
53,92162,265884.0,265357.3185855713,272350.1735301662
54,92163,253958.0,253775.51970240957,262001.48520451353
55,92164,127270.0,127499.54441924121,131798.83000303907
56,92165,175093.0,176323.95053496998,184099.87860639885
57,92166,205821.0,204729.54346673875,208214.31502412498
58,92169,173284.0,177065.1429011654,181092.66800808997
59,92171,142770.0,141562.5728521561,145237.34046985055
60,92173,228732.0,224744.85838018844,224442.20699332512
61,92174,151223.0,150376.27564384884,154624.5211004693
62,92177,89910.0,90361.12967147381,92646.61717318842
63,92178,136144.0,136139.59552181684,139158.9769615369
64,92179,243127.0,244447.83622129372,251070.65993716748
65,92180,123990.0,124406.63627641565,128060.05216332537
66,92181,179305.0,178170.79337258046,181746.10584180112
67,92182,155790.0,153021.84981740746,153796.71454824405
68,92183,119413.0,121775.76715986228,126271.01160517796
69,92185,190663.0,190804.35336942345,187669.5646102097
70,92186,91369.0,91197.01851799984,93381.64209067133
71,92187,121864.0,121570.91807639449,124325.66106238235
72,92189,139428.0,139435.0845364812,143254.23932046388
73,92190,123299.0,122509.81842393368,125477.27988897264
74,92192,147177.0,149681.76188789553,152985.9347429393
75,92193,215998.0,214966.37736768424,219546.95423600127
76,92194,406028.0,406000.1249994493,415576.9120017726
77,92195,326390.0,329303.4622491256,336233.49185238173
78,92196,398708.0,397901.2322719945,404988.4083612903
79,92198,81634.0,81549.26790255378,82511.11015614333
80,92199,270607.0,269744.0761527428,277461.9852130483
81,92200,226063.0,226350.7781371452,232922.9034187414
82,92201,91857.0,93159.22270013441,95633.78678687375
83,92202,81128.0,82228.28297968552,84048.0774729283
84,92203,288510.0,287467.7178699446,294347.4843188914
85,92205,428671.0,428421.26862092677,432192.7198876071
86,92206,153171.0,153234.40845399167,156010.544722863
87,92207,82463.0,81690.95971430613,82466.81086652627
88,92208,247792.0,247735.63440661863,252560.20605251926
89,92210,148519.0,147290.46138369132,149498.72266235756
90,92211,324053.0,324089.6768821265,327871.50882836396
91,92212,365296.0,364255.73968812294,372642.4497069301
92,92213,213292.0,213393.6198892369,218225.92941689046
93,92214,142672.0,143494.1134507324,148094.62497514623
94,92215,286596.0,284858.6783832615,288616.8489238417
95,92216,230595.0,230127.69435686065,234296.6366607782
96,92218,140279.0,141710.98168922873,145310.14564541497
97,92219,91019.0,89825.4169152455,90308.4650951962
98,92220,195877.0,195758.85747020325,197551.8784525478
99,92222,138405.0,138681.75922361526,140247.10952003105
100,92224,232302.0,232530.65835022682,234826.63767186794
101,92225,130196.0,130812.39967783673,132730.94107523054
102,92227,105068.0,104203.59492876916,106612.125029625
103,92228,197562.0,198612.60628437457,204127.10236834153
104,92230,203643.0,202725.39323514997,207845.31103098355
105,92231,377069.0,375202.5001894957,383822.1122425932
106,92232,147216.0,144088.03510632645,143719.5848385661
107,92233,267745.0,267962.27695074235,275843.47671517683
108,92234,177638.0,177590.5102349725,180549.40071707132
109,92235,105496.0,106499.50397211558,110154.45635865969
110,92236,85674.0,85623.50102721612,86490.24985017824
111,92238,217640.0,216958.41128843077,222091.7097307466
112,92239,186014.0,186991.44456088054,191313.92394081486
113,92240,122547.0,122266.01177052753,125083.54484136439
114,92241,297168.0,295719.7922938834,306397.74166833976
115,92242,61421.0,62226.18244265475,63256.92702538048
116,92243,133386.0,133563.67532008004,136605.87594763894
117,92244,411022.0,408219.51235494483,416830.0862141933
118,92245,127851.0,127463.84542598948,129889.86548050544
119,92247,136765.0,134888.9173796013,136641.3157108212
120,92249,155749.0,155334.92354342403,157618.72351810773
121,92250,96420.0,96323.51033715278,98286.06929295268
122,92251,290749.0,290486.2170403305,297183.3591245453
123,92252,121625.0,121465.13656364166,124265.73603096948
124,92255,248788.0,249438.60132725543,253374.98097874265
125,92256,180502.0,180891.8450380015,185158.70249214032
126,92258,147008.0,147562.03026190537,150259.42855034454
127,92259,285571.0,286858.68379022507,296473.68687666993
128,92260,267132.0,268149.95949798706,275904.5124879474
129,92262,234381.0,236914.06021216654,248856.62551996074
130,92263,244528.0,245004.55694646883,255970.62711031188
131,92264,113488.0,114198.98944105116,118720.75611123428
132,92265,106170.0,106494.86455924,109931.06232707702
133,92266,358855.0,359266.1140682434,368319.0506231122
134,92267,173542.0,169489.5958376657,174007.56959840108
135,92268,398385.0,403230.57931747776,412770.19540850446
136,92269,250065.0,255564.56425696317,263453.90291078505
137,92271,240471.0,239808.4376273248,241950.91133092044
138,92273,422899.0,421012.0855159996,427449.4807172352
139,92274,284498.0,281842.7675113659,287556.30425343214
140,92276,93037.0,91811.09829540996,93548.67469324569
141,92277,116971.0,118311.22695920187,124026.21055408062
142,92278,165392.0,166346.13308689505,169763.21029454994
